State_UT,Region,Best_Season,Popular_Art_Form,Popular_Attractions,Hidden_Gems,Image_URL,Map_Highlight_Color
Rajasthan,North,Oct–Feb,Miniature Paintings,"Jaipur City Palace, Udaipur Lake Palace, Jaisalmer Fort, Jodhpur Mehrangarh","Bundi Palace, Kumbhalgarh Fort, Ranakpur Temples",https://images.unsplash.com/photo-1599661046289-e31897846e41,#FF6B35
Kerala,South,Sep–Mar,Kathakali,"Alleppey Backwaters, Munnar Tea Gardens, Kochi Fort, Thekkady Wildlife","Thenmala Ecotourism, Wayanad Caves, Bekal Fort",https://images.unsplash.com/photo-1593693397690-362cb9666fc2,#4ECDC4
Gujarat,West,Nov–Feb,Patola Weaving,"Gir Forest, Somnath Temple, Dwarka Temple, Kutch Desert","Champaner Fort, Modhera Sun Temple, Lothal Archaeological Site",https://images.unsplash.com/photo-1598977801527-e51f0e2b5fe5,#FFD93D
Meghalaya,North-East,Sep–Dec,Bamboo Handicrafts,"Living Root Bridges, Shillong Peak, Cherrapunji Falls, Mawsynram","Mawlynnong Village, Dawki River, Elephant Falls",https://images.unsplash.com/photo-1577717903315-1691ae25ab3f,#6BCF7F
Madhya Pradesh,Central,Oct–Mar,Gond Paintings,"Khajuraho Temples, Sanchi Stupa, Bandhavgarh National Park, Gwalior Fort","Chanderi Heritage Town, Orchha Palaces, Mandu Ruins",https://images.unsplash.com/photo-1624374814996-84b0a8e6cd5c,#B388FF
Tamil Nadu,South,Nov–Feb,Bharatanatyam,"Meenakshi Temple, Mahabalipuram Shore Temple, Ooty Hills, Marina Beach","Chettinad Architecture, Kodaikanal Lake, Thanjavur Palace",https://images.unsplash.com/photo-1582510003544-4d00b7f74220,#FF5722
Maharashtra,West,Oct–Feb,Warli Art,"Gateway of India, Ajanta Ellora Caves, Mumbai Film City, Lonavala Hills","Raigad Fort, Matheran Hill Station, Aurangabad Caves",https://images.unsplash.com/photo-1570168007204-dfb528c6958f,#FF9800
Uttar Pradesh,North,Oct–Mar,Chikankari Embroidery,"Taj Mahal, Varanasi Ghats, Fatehpur Sikri, Lucknow Imambaras","Chitrakoot Dham, Vindhyachal Temple, Sarnath Buddhist Site",https://images.unsplash.com/photo-1564507592333-c60657eea523,#E91E63
West Bengal,East,Oct–Mar,Patachitra Scroll Painting,"Victoria Memorial, Darjeeling Tea Gardens, Sundarbans, Howrah Bridge","Bishnupur Terracotta Temples, Murshidabad Palace, Kalimpong Monasteries",https://images.unsplash.com/photo-1536421469767-80559bb6f5e1,#3F51B5
Karnataka,South,Oct–Feb,Mysore Silk Painting,"Mysore Palace, Hampi Ruins, Coorg Coffee Plantations, Bangalore Gardens","Gokarna Beaches, Badami Cave Temples, Chikmagalur Hills",https://images.unsplash.com/photo-1600689520710-c951a64225c5,#9C27B0
Andhra Pradesh,South,Nov–Feb,Kalamkari Textile Art,"Tirupati Temple, Araku Valley, Vijayawada Krishna River, Visakhapatnam Beaches","Lepakshi Temple, Belum Caves, Horsley Hills",https://s7ap1.scene7.com/is/image/incredibleindia/varaha-lakshmi-narasimha-temple-buddhist-complex-visakhapatnam-andhra-pradesh-1-attr-hero?qlt=82&ts=1726744344834,#FF4081
Telangana,South,Oct–Feb,Bidriware Metal Craft,"Charminar, Golconda Fort, Ramoji Film City, Hussain Sagar Lake","Warangal Fort, Pochampally Handlooms, Nagarjuna Sagar",https://images.unsplash.com/photo-1590766740016-40fe2c06c8b4,#00BCD4
