state_name,banner_image,capital,best_time,known_for,languages,climate,geography
Himachal Pradesh,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,Shimla,"March to June","Adventure Sports|Hill Stations|Buddhist Monasteries|Apple Orchards","Hindi|Pahari|Kangri","Pleasant summers and cold winters","Mountainous terrain with elevations ranging from 350m to 7000m"
Rajasthan,https://images.unsplash.com/photo-1599661046289-e31897846e41,Jaipur,"October to March","Royal Palaces|Desert Safari|Folk Music|Heritage Hotels","Hindi|Rajasthani|Marwari","Hot and arid","Mostly desert and arid regions with Aravalli range"
Kerala,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944,Thiruvananthapuram,"October to March","Backwaters|Ayurveda|Tea Gardens|Beach Resorts","Malayalam|English","Tropical with moderate temperatures","Coastal plains, highlands, and backwaters"
Goa,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2,Panaji,"November to February","Beaches|Portuguese Architecture|Nightlife|Water Sports","Konkani|Marathi|English","Tropical with warm temperatures","Coastal region with beaches and Western Ghats"
Gujarat,https://images.unsplash.com/photo-1590579491624-f98f36d4c763,Gandhinagar,"October to March","Rann of Kutch|Industrial Hub|Gandhi Heritage|Wildlife","Gujarati|Hindi|English","Hot and dry with mild winters","Diverse landscape with desert, hills, and coastline"
Karnataka,https://images.unsplash.com/photo-1570168007204-dfb528c6958f,Bengaluru,"October to February","Tech Hub|Ancient Temples|Coffee Plantations|National Parks","Kannada|English|Hindi","Moderate throughout the year","Deccan plateau with Western Ghats and coastal plains"
Tamil Nadu,https://images.unsplash.com/photo-1582510003544-4d00b7f74220,Chennai,"October to March","Ancient Temples|Classical Music|Beaches|Hill Stations","Tamil|English","Hot and humid with moderate winters","Coastal plains and Western Ghats"
West Bengal,https://images.unsplash.com/photo-1558431382-27e303142255,Kolkata,"October to March","Cultural Heritage|Sundarbans|Tea Gardens|Durga Puja","Bengali|English|Hindi","Tropical with hot summers and mild winters","Varied landscape from mountains to mangroves"
Ladakh,https://images.unsplash.com/photo-1619837374214-f5b9eb80da1b,Leh,"June to September","Buddhist Monasteries|High Altitude Lakes|Adventure Sports|Unique Culture","Ladakhi|Hindi|English","Cold desert with extreme temperatures","High altitude desert with mountains and valleys"
Andaman and Nicobar Islands,https://images.unsplash.com/photo-1593849531728-9c2a6999ae40,Port Blair,"October to May","Pristine Beaches|Water Sports|Colonial History|Marine Life","Hindi|Bengali|Tamil|English","Tropical with moderate temperatures","Archipelago of 572 islands"
Madhya Pradesh,https://images.unsplash.com/photo-1623677375828-30c246c8f647,Bhopal,"October to March","Wildlife|Temples|Heritage Sites|Tribal Culture","Hindi|Bundeli|Malvi","Subtropical with hot summers and mild winters","Central Indian plateau with forests"
Puducherry,https://images.unsplash.com/photo-1582636714834-5db0b9b6e6f0,Puducherry,"October to March","French Architecture|Beaches|Spiritual Tourism|French Cuisine","Tamil|French|English|Telugu","Tropical with warm temperatures","Coastal region with French colonial heritage"
Sikkim,https://images.unsplash.com/photo-1588097246596-4c4c0c45a7d0,Gangtok,"March to May, October to December","Monasteries|Mountain Views|Adventure Sports|Organic Farming","Nepali|Sikkimese|Hindi|English","Alpine in higher regions, subtropical in lower regions","Mountainous terrain with valleys and glaciers"
Jammu and Kashmir,https://images.unsplash.com/photo-1614591276564-7b3e2a896199,Srinagar,"March to October","Dal Lake|Mughal Gardens|Skiing|Kashmiri Handicrafts","Kashmiri|Urdu|Hindi|English","Alpine climate with cold winters","Mountainous with valleys and glaciers"
Meghalaya,https://images.unsplash.com/photo-1577717903315-1691ae25ab61,Shillong,"October to May","Living Root Bridges|Waterfalls|Caves|Tribal Culture","Khasi|Garo|English|Hindi","Moderate with high rainfall","Mountainous plateau with deep valleys" 
